LONG,LAT
-97.025862,30.572917
-97.127586,30.572917
-97.127586,30.572917
-97.229310,30.625000
-97.229310,30.625000
-97.229310,30.677083
-97.229310,30.677083
-97.229310,30.729167
-97.229310,30.729167
-97.331034,30.781250
-97.432759,30.833333
-97.432759,30.833333
-97.534483,30.937500
-97.636207,30.989583
-97.737931,31.041667
-97.941379,31.197917
-97.941379,31.197917
-97.941379,31.250000
-97.941379,31.250000
-98.043103,31.354167
-98.144828,31.406250
-98.144828,31.458333
-98.246552,31.510417
-98.348276,31.510417
-98.348276,31.562500
-98.348276,31.562500
-98.348276,31.562500
-98.450000,31.562500
-98.348276,31.562500
-98.450000,31.614583
-98.653448,31.666667
-98.653448,31.666667
-98.653448,31.666667
-98.653448,31.666667
-98.653448,31.718750
-98.653448,31.666667
-98.348276,31.562500
-98.246552,31.510417
-98.144828,31.458333
-98.144828,31.458333
-98.144828,31.458333
-98.043103,31.458333
-98.043103,31.458333
-98.043103,31.458333
-97.941379,31.510417
-97.941379,31.510417
-97.941379,31.510417
-97.941379,31.510417
-97.941379,31.510417
-97.839655,31.510417
-97.839655,31.562500
-97.839655,31.614583
-97.737931,31.614583
-97.636207,31.666667
-97.636207,31.666667
-97.534483,31.718750
-97.534483,31.718750
-97.432759,31.718750
-97.331034,31.770833
-97.229310,31.770833
-97.127586,31.770833
-97.127586,31.822917
-97.025862,31.822917
-96.924138,31.822917
-96.720690,31.822917
-96.517241,31.875000
-96.517241,31.875000
-96.415517,31.875000
-96.415517,31.875000
-96.313793,31.875000
-96.313793,31.875000
-96.313793,31.875000
-96.212069,31.875000
-96.110345,31.875000
-96.110345,31.875000
-96.008621,31.875000
-95.906897,31.875000
-95.805172,31.875000
-95.703448,31.875000
-95.703448,31.875000
-95.601724,31.875000
-95.601724,31.875000
-95.398276,31.875000
-95.194828,31.927083
-95.093103,31.927083
-95.093103,31.927083
-94.991379,31.927083
-94.991379,31.927083
-94.889655,31.927083
-94.889655,31.927083
-94.787931,31.927083
-94.787931,31.927083
-94.686207,31.927083
-94.686207,31.927083
-94.686207,31.927083
-94.686207,31.927083
-94.686207,31.927083
-94.686207,31.927083
-94.686207,31.979167
-94.686207,31.979167
-94.482759,31.927083
-94.381034,31.979167
-94.279310,31.979167
-94.075862,31.979167
-93.974138,31.979167
-93.974138,31.979167
-93.974138,31.979167
-93.974138,31.979167
-93.872414,32.031250
-93.770690,32.031250
-93.770690,32.031250
-93.668966,32.031250
-93.567241,32.083333
-93.363793,32.083333
-93.363793,32.135417
-93.262069,32.135417
-93.262069,32.135417
-93.160345,32.135417
-93.160345,32.135417
-92.956897,32.083333
-92.855172,32.083333
-92.753448,32.031250
-92.753448,32.031250
-92.651724,32.031250
-92.651724,32.031250
-92.550000,32.031250
-92.550000,32.031250
-92.346552,32.031250
-92.346552,32.031250
-92.244828,32.031250
-92.244828,31.979167
-92.041379,31.927083
-92.041379,31.927083
-91.939655,31.927083
-91.837931,31.875000
